delo,plača neto,kraj,delovnik,trajanje
LAŽJA FIZIČNA DELA,6.88 €/h neto,"HRPELJE, KOZINA",PO DOGOVORU,PO DOGOVORU
DELO V LOGISTIKI,7.57 €/h neto,KRANJ,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,6.20 €/h neto,LENART,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
PRODAJA,15.27 €/h neto,LJUBLJANA IN OKOLICA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
ELEKTROTEHNIČNA DELA,6.45 €/h neto,LJUBLJANA VIČ,DOPOLDAN,PO DOGOVORU
DELO V PROIZVODNJI,6.20 €/h neto,ZAGORJE,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
MASER/KA,6.20 €/h neto,LJUBLJANA BRDO,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,7.00 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ELEKTROTEHNIČNA DELA,6.88 €/h neto,KOPER IN OKOLICA,DOPOLDAN,PO DOGOVORU
ELEKTROTEHNIČNA DELA,6.88 €/h neto,LJUBLJANA IN OKOLICA,DOPOLDAN,PO DOGOVORU
ČIŠČENJE,7.00 €/h neto,NOVA GORICA,POPOLDAN,POČITNIŠKO DELO
ČIŠČENJE,7.00 €/h neto,VIPAVA,POPOLDAN,POČITNIŠKO DELO
DELO V PROIZVODNJI,7.31 €/h neto,GROSUPLJE,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
PROJEKTIRANJE,8.00 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
TELEFONSKI MARKETING,6.20 €/h neto,LJUBLJANA,IZMENSKO,PO DOGOVORU
TELEFONSKI MARKETING,6.20 €/h neto,MARIBOR,IZMENSKO,PO DOGOVORU
TELEFONSKI MARKETING,6.20 €/h neto,CELJE,IZMENSKO,PO DOGOVORU
TRENER/KA,15.00 €/h neto,GROSUPLJE,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
TRENER/KA,15.00 €/h neto,LJUBLJANA,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,8.15 €/h neto,PORTOROŽ,IZMENSKO,PO DOGOVORU
DELO V KUHINJI,9.00 €/h neto,BREZOVICA PRI LJUBLJANI,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ PRI PRODAJI,6.20 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
LAŽJA FIZIČNA DELA,6.45 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ZAHTEVNA ADMINISTRATIVNA DELA,8.00 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO S STRANKAMI,7.50 €/h neto,JESENICE,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO S STRANKAMI,7.50 €/h neto,LESCE,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V LABORATORIJU,6.45 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STROKOVNO DELO,7.50 €/h neto,DOMŽALE,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,6.20 €/h neto,IZOLA,IZMENSKO,MED POČITNICAMI
KOZMETIČNE STORITVE,8.61 €/h neto,ŠKOFLJICA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
SOBAR/ICA,7.50 €/h neto,PORTOROŽ,PO DOGOVORU,POČITNIŠKO DELO
POMOČ V KUHINJI,7.50 €/h neto,PORTOROŽ,IZMENSKO,POČITNIŠKO DELO
PRODAJA,7.12 €/h neto,LJUBLJANA RUDNIK,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,7.66 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
PRODAJA,7.00 €/h neto,KOPER,MED VIKENDI,DLJE ČASA (ZAČ. IN OBČ. DELO)
NEGOVANJE,7.39 €/h neto,ŠKOFLJICA,PO DOGOVORU,PO DOGOVORU
DELO V DELAVNICI,8.00 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V KUHINJI,8.61 €/h neto,BLED ZASIP,PO DOGOVORU,PO DOGOVORU
POMOČ V STREŽBI,6.20 €/h neto,ILIRSKA BISTRICA,IZMENSKO,PO DOGOVORU
DELO V PROIZVODNJI,7.50 €/h neto,KRMELJ,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V KUHINJI,7.00 €/h neto,BLED ZASIP,PO DOGOVORU,POČITNIŠKO DELO
STREŽBA HRANE IN PIJAČE,10.00 €/h neto,SEŽANA,MED VIKENDI,PO DOGOVORU
POMOČ V TRGOVINI,6.88 €/h neto,LOG PRI BREZOVICI,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
BLAGAJNIK,7.06 €/h neto,KRANJSKA GORA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,8.61 €/h neto,BRNIK,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,7.00 €/h neto,IZOLA,IZMENSKO,DO 30. 9. 2024
ZAHTEVNA ADMINISTRATIVNA DELA,7.31 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
FIZIČNA DELA,7.80 €/h neto,GROSUPLJE,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
RAZVOZ,6.80 €/h neto,BREZOVICA PRI LJUBLJANI,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V KUHINJI,9.00 €/h neto,BOHINJ,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,9.00 €/h neto,BOHINJ,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
"UREJANJE DRUŽ. OMREŽIJ (FB,IN,TW,TIK TOK)",7.00 €/h neto,LJUBLJANA,PO DOGOVORU,PO DOGOVORU
ČIŠČENJE,7.00 €/h neto,MARIBOR,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ČIŠČENJE,7.00 €/h neto,"DRAVOGRAD, RAVNE NA KOROŠKEM, SLOVENJ GEADEC, RADLJE OB DRAVI, MUTA",POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V TURIZMU,PO DOGOVORU,KRAJI OB MORSKI OBALI,PO DOGOVORU,POLETNI MESECI
STREŽBA,7.12 €/h neto,KRANJ,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
FIZIČNA DELA,8.50 €/h neto,ŠKOFJA LOKA,DOPOLDAN,PO DOGOVORU
MEDICINSKA SESTRA,7.50 €/h neto,KRANJ,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,8.15 €/h neto,LJUBLJANA MOSTE,IZMENSKO,PO DOGOVORU 
POMOČ V STREŽBI,6.88 €/h neto,BOROVNICA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DIGITALNI MARKETING,7.12 €/h neto,LJUBLJANA,PO DOGOVORU,PO DOGOVORU
STREŽBA,7.00 €/h neto,LOKA PRI ZIDANEM MOSTU,DOPOLDAN,POČITNIŠKO DELO
POMOČ V STREŽBI,7.00 €/h neto,KRANJ,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
"UREJANJE DRUŽ. OMREŽIJ (FB,IN,TW,TIK TOK)",7.00 €/h neto,LJUBLJANA,PO DOGOVORU,PO DOGOVORU
POMOČ V STREŽBI,7.50 €/h neto,GORNJA RADGONA,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,7.00 €/h neto,ČRNOMELJ,PO DOGOVORU,PO DOGOVORU
POMOČ V STREŽBI,8.00 €/h neto,KRANJSKA GORA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,8.00 €/h neto,ZGORNJA LOŽNICA,PO DOGOVORU,PO DOGOVORU
STREŽBA,6.50 €/h neto,MARIBOR,MED VIKENDI,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,8.00 €/h neto,VRHNIKA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ELEKTROTEHNIČNA DELA,7.30 €/h neto,LIMBUŠ,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,8.00 €/h neto,LJUBLJANA ŠIŠKA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,7.30 €/h neto,LIMBUŠ,DOPOLDAN,POČITNIŠKO DELO
STROKOVNO DELO,8.61 €/h neto,LJUBLJANA,DOPOLDAN,DO 31. 10. 2024
VZDRŽEVANJE,8.61 €/h neto,LJUBLJANA,DOPOLDAN,DO KONCA OKTOBRA 2024
STROKOVNO DELO,7.12 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,6.88 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
BLAGAJNIK,7.74 €/h neto,KRANJ,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
BLAGAJNIK,7.74 €/h neto,PODNART,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
BLAGAJNIK,7.74 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
BLAGAJNIK,7.74 €/h neto,TRŽIČ,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
BLAGAJNIK,7.74 €/h neto,VISOKO PRI KRANJU,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
BLAGAJNIK,7.74 €/h neto,TRŽIČ,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
BLAGAJNIK,7.74 €/h neto,ŠENČUR,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
BLAGAJNIK,7.74 €/h neto,KRIŽE,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
BLAGAJNIK,7.74 €/h neto,NAKLO,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
BLAGAJNIK,7.74 €/h neto,KRANJ,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
VARSTVO,PO DOGOVORU,"ANKARAN, DEBELI RTIČ",PO DOGOVORU,PO DOGOVORU
BLAGAJNIK,7.74 €/h neto,KRANJ,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
BLAGAJNIK,7.74 €/h neto,KRANJ,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,8.00 €/h neto,IZOLA,IZMENSKO,PO DOGOVORU
POMOČ PRI PRODAJI,6.93 €/h neto,ŠEMPETER PRI GORICI,PO DOGOVORU,POČITNIŠKO DELO
STREŽBA,PO DOGOVORU,PACINJE,IZMENSKO,PO DOGOVORU
BLAGAJNIK,7.74 €/h neto,DOMŽALE,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V KUHINJI,9.00 €/h neto,PTUJ - SPUHLJA,IZMENSKO,POČITNIŠKO DELO ALI DLJE ( OBČASNO)
STREŽBA,6.63 €/h neto,BRESNICA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,8.00 €/h neto,BLEJSKA DOBRAVA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
TRENER/KA,10.00 €/h neto,LITIJA IN OKOLICA,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
TRENER/KA,10.00 €/h neto,KAMNIK IN OKOLICA,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,8.00 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,6.88 €/h neto,MENGEŠ,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO S STRANKAMI,PO DOGOVORU,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,8.00 €/h neto,DVOR,PO DOGOVORU,POČITNIŠKO DELO
DELO V KUHINJI,8.70 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
PRODAJA,6.20 €/h neto,JESENICE,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
PROGRAMIRANJE,PO DOGOVORU,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
UREJANJE BESEDIL,7.74 €/h neto,MARIBOR,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,7.31 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
ZDRAVSTVENA NEGA,6.88 €/h neto,SEŽANA,IZMENSKO,PO DOGOVORU
LAŽJA FIZIČNA DELA,6.50 €/h neto,LJUBLJANA,MED VIKENDI,POČITNIŠKO DELO
STREŽBA HRANE IN PIJAČE,6.97 €/h neto,VELENJE,IZMENSKO,PO DOGOVORU
STREŽBA,8.50 €/h neto,LJUBLJANA,IZMENSKO,PO DOGOVORU
STREŽBA,8.50 €/h neto,LJUBLJANA,PO DOGOVORU,PO DOGOVORU
VADITELJ/ICA,12.50 €/h neto,MEDVODE,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V PROIZVODNJI,6.45 €/h neto,GORNJA RADGONA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
MONTAŽA,6.20 €/h neto,MARIBOR Z OKOLICO,PO DOGOVORU,PO DOGOVORU
DELO V PROIZVODNJI,7.50 €/h neto,POLHOV GRADEC,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA BENCINSKEM SERVISU,6.25 €/h neto,LENART,IZMENSKO,PO DOGOVORU
STREŽBA,9.50 €/h neto,DOMŽALE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA BENCINSKEM SERVISU,6.25 €/h neto,LORMANJE,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V SKLADIŠČU,6.45 €/h neto,POSLOVNA CONA KOMENDA,IZMENSKO,PO DOGOVORU
STREŽBA HRANE IN PIJAČE,7.20 €/h neto,LJUBLJANA,IZMENSKO,PO DOGOVORU
STREŽBA,7.31 €/h neto,MAJŠPERK,IZMENSKO,PO DOGOVORU
POMOČ V STREŽBI,7.40 €/h neto,LJUBLJANA,PO DOGOVORU,PO DOGOVORU
GRADBENA DELA,6.20 €/h neto,SLOVENSKA BISTRICA,DOPOLDAN,PO DOGOVORU
PROGRAMIRANJE,PO DOGOVORU,MARIBOR,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DIGITALNI MARKETING,6.20 €/h neto,MARIBOR,PO DOGOVORU,PO DOGOVORU
STREŽBA,8.00 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
MARKETING,PO DOGOVORU,MARIBOR,PO DOGOVORU,PO DOGOVORU
PROJEKTIRANJE,7.50 €/h neto,LJUBLJANA BEŽIGRAD,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,PO DOGOVORU,TREBNJE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,8.00 €/h neto,POLENŠAK,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
NEGOVANJE,8.17 €/h neto,LJUBLJANA TABOR,IZMENSKO,PO DOGOVORU
STREŽBA HRANE IN PIJAČE,10.00 €/h neto,KUZMA,PO DOGOVORU,PO DOGOVORU
DELO V LOTERIJI,6.88 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V KUHINJI,8.00 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,8.00 €/h neto,SVETA TROJICA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
FIZIČNA DELA,7.00 €/h neto,TEREN PO SLOVENIJI,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
KOZMETIČNE STORITVE,9.00 €/h neto,GORENJA VAS,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
KOZMETIČNE STORITVE,6.90 €/h neto,VOJNIK,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,8.00 €/h neto,ŠKOFIJE,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,8.00 €/h neto,TRZIN,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
BLAGAJNIK,7.74 €/h neto,AJDOVŠČINA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,6.88 €/h neto,CERKNO,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
PRODAJA,8.61 €/h neto,GORENJA VAS,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,6.88 €/h neto,LOGATEC,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
PRODAJA,7.74 €/h neto,VRHNIKA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,6.88 €/h neto,VRHNIKA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
BLAGAJNIK,7.74 €/h neto,VNANJE GORICE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,6.88 €/h neto,VNANJE GORICE,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,6.88 €/h neto,LOGATEC,IZMENSKO,POČITNIŠKO DELO
POMOČ V TRGOVINI,6.88 €/h neto,BREZOVICA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,7.74 €/h neto,BOVEC,DOPOLDAN,POČITNIŠKO DELO
POMOČ V KUHINJI,7.74 €/h neto,BOVEC,DOPOLDAN,POČITNIŠKO DELO
STREŽBA,7.12 €/h neto,LJUBLJANA ČRNUČE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,8.61 €/h neto,BRNIK - AERODROM,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V KUHINJI,8.00 €/h neto,LJUBLJANA CENTER,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
ANKETIRANJE,6.20 €/h neto,KRAŠKA REGIJA,PO DOGOVORU,PO DOGOVORU
STREŽBA,7.80 €/h neto,BREZOVICA PRI LJUBLJANI,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,7.80 €/h neto,BREZOVICA PRI LJUBLJANI,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
BLAGAJNIK,12.05 €/h neto,SREDNJA VAS V BOHINJU,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,6.88 €/h neto,SREDNJA VAS V BOHINJU,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
UREJANJE OKOLICE,7.74 €/h neto,POSTOJNA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
BLAGAJNIK,7.74 €/h neto,BEGUNJE NA GORENJSKEM,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA RECEPCIJI,7.00 €/h neto,LJUBLJANA,IZMENSKO,PO DOGOVORU
DELO NA RECEPCIJI,8.00 €/h neto,LJUBLJANA,POPOLDAN,PO DOGOVORU
ADMINISTRATIVNA DELA,6.20 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
BLAGAJNIK,9.47 €/h neto,KRANJSKA GORA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,6.88 €/h neto,JESENICE,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
BLAGAJNIK,7.74 €/h neto,JESENICE,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,6.20 €/h neto,RIBNICA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
BLAGAJNIK,7.74 €/h neto,JESENICE,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,6.88 €/h neto,JESENICE,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,11.00 €/h neto,JESENICE,PO DOGOVORU,"JULIJ, AVGUST, SEPTEMBER"
POMOČ V TRGOVINI,6.88 €/h neto,JESENICE,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
LAŽJA FIZIČNA DELA,6.20 €/h neto,LJUBLJANA,DOPOLDAN,POČITNIŠKO DELO
STREŽBA HRANE IN PIJAČE,7.00 €/h neto,SLOVENSKE KONJICE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,8.00 €/h neto,KAPLA,IZMENSKO,POČITNIŠKO DELO
DELO V ORDINACIJI,6.45 €/h neto,LJUBLJANA CENTER,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,7.00 €/h neto,KOPER,POPOLDAN,PO DOGOVORU
POMOČ V STREŽBI,6.20 €/h neto,HRASTNIK,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,7.00 €/h neto,MOKRONOG,IZMENSKO,POČITNIŠKO DELO
POMOČ V KUHINJI,10.00 €/h neto,ZGORNJE JEZERSKO,PO DOGOVORU,POČITNIŠKO DELO
KOZMETIČNE STORITVE,6.20 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
PROMOCIJA,9.16 €/h neto,"SLOVENJ GRADEC, RAVNE",PO DOGOVORU,PO DOGOVORU
STREŽBA HRANE IN PIJAČE,8.19 €/h neto,OTIŠKI VRH,IZMENSKO,PO DOGOVORU
POMOČ V TRGOVINI,6.20 €/h neto,LIMBUŠ,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,7.50 €/h neto,ŠKOFJA LOKA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,7.00 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
PRODAJA,7.50 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
RAČUNOVODSKA DELA,6.20 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V TURIZMU,8.00 €/h neto,BLED,DOPOLDAN,PO DOGOVORU
POMOČ PRI PRODAJI,6.20 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
KLICNI CENTER,7.00 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,8.00 €/h neto,IG,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,8.00 €/h neto,DOLENJE,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ PRI PRODAJI,6.20 €/h neto,MEDVODE,PO DOGOVORU,POČITNIŠKO DELO
POMOČ PRI PRODAJI,6.20 €/h neto,LESCE,PO DOGOVORU,POČITNIŠKO DELO
POMOČ PRI PRODAJI,6.20 €/h neto,JESENICE,PO DOGOVORU,POČITNIŠKO DELO
POMOČ PRI PRODAJI,6.20 €/h neto,KRANJSKA GORA,PO DOGOVORU,POČITNIŠKO DELO
STREŽBA,PO DOGOVORU,BOHINJ,PO DOGOVORU,POČITNIŠKO DELO
DELO V TURIZMU,9.00 €/h neto,KRANJSKA GORA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO) OZIROMA PO DOGOVORU
STREŽBA HRANE IN PIJAČE,8.00 €/h neto,ILIRSKA BISTRICA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,8.00 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,7.00 €/h neto,NAZARJE,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,6.50 €/h neto,SEŽANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,OD 8 €/H DO 10 €/H BRUTO,IZOLA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V TURIZMU,7.00 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POUČEVANJE,PO DOGOVORU,LJUBLJANA,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,6.20 €/h neto,SEVNICA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V FARMACIJI,7.31 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,PO DOGOVORU,CELJE,IZMENSKO,PO DOGOVORU
STREŽBA,7.74 €/h neto,ŠENČUR,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V KUHINJI,7.50 €/h neto,KOBARID,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,8.00 €/h neto,ŠOŠTANJ,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
PRODAJA,6.50 €/h neto,BOHINJSKA BISTRICA,PO DOGOVORU,PO DOGOVORU
MASER/KA,8.15 €/h neto,PORTOROŽ,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
GRADBENA DELA,PO DOGOVORU,PTUJ,DOPOLDAN,CCA DO AVGUSTA 2024
STREŽBA,6.45 €/h neto,LJUBLJANA CENTER,DOPOLDAN,PO DOGOVORU
INFORMACIJSKO KOMUNIKACIJSKA DELA,6.88 €/h neto,TRZIN,DOPOLDAN,PO DOGOVORU
POMOČ V KUHINJI,PO DOGOVORU,PORTOROŽ,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,7.00 €/h neto,KRŠKO,PO DOGOVORU,POČITNIŠKO DELO
STREŽBA,6.62 €/h neto,DOB,PO DOGOVORU,PO DOGOVORU
LEPLJENJE,6.88 €/h neto,MARIBOR,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
