delo,plača neto,kraj,delovnik,trajanje
POMOČ PRI PRODAJI,6.93 €/h neto,BREŽICE,IZMENSKO,POČITNIŠKO DELO
PRODAJA,6.20 €/h neto,POSTOJNA,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
BLAGAJNIK,6.88 €/h neto,MARIBOR,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
FIZIOTERAPIJA,7.50 €/h neto,POSTOJNA,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,6.20 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA TERENU,7.74 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
PRODAJA,6.20 €/h neto,MURSKA SOBOTA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
ZDRAVSTVENA NEGA,7.50 €/h neto,PTUJ,IZMENSKO,19. -30. 8. 2024
RAZVOZ,7.74 €/h neto,DOMŽALE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,7.31 €/h neto,ŠKOFJA LOKA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,7.74 €/h neto,DOMŽALE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,6.20 €/h neto,KOPER,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ PRI PRODAJI,6.50 €/h neto,MURSKA SOBOTA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,8.61 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ PRI PRODAJI,7.31 €/h neto,ŠENTVID PRI LUKOVICI,PO DOGOVORU,PO DOGOVORU
BLAGAJNIK,8.00 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V KUHINJI,8.00 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ PRI PRODAJI,8.61 €/h neto,PRESTRANEK,IZMENSKO,POČITNIŠKO DELO
ČIŠČENJE,9.00 €/h neto,PACUG PRI PORTOROŽU,DOPOLDAN,2 DNI
ANIMATOR/KA,7.92 €/h neto,LJUBLJANA,DOPOLDAN,24. 8. IN 1. 9. 2024
DELO NA RECEPCIJI,6.50 €/h neto,SLOVENSKE KONJICE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
RAZVOZ,8.61 €/h neto,LJUBLJANA,PO DOGOVORU,PO DOGOVORU
